The correlations between aging and drug effects (author's transl).,Cysteamine,Typhaceae
"Carcass components at first estrus of rats on high-fat and low-fat diets: body water, protein, and fat.",Body Water,GB virus A
Energy-driven uptake of humic acids by Aspergillus niger.,Aspergillus niger,"Stress, Mechanical"
"Studies on cytochrome oxidase. Partial resolution of enzymes containing seven or six subunits, from yeast and beef heart, respectively.",Copper,Critical Care
Medical insurance and technical insurance fundamental concepts.,"Insurance, Health",Physical Functional Performance
Mechanism of dimethylnitrosamine metabolism and activation in rats.,Cobalt,Cebinae
Solubilization and reconstruction of microsomal AMP-deaminase from skeletal muscles.,Cold Temperature,Palyam Virus
Evidence for dimethyltryptamine (DMT) as a naturally-occurring transmitter in mammalian brain.,Rabbits,Cytochrome b6f Complex
Long-term follow-up of internal mammary artery myocardial implantation.,Evaluation Studies as Topic,Exodeoxyribonucleases
Studies on the ferrochelatase activity of mitochondria and submitochondrial particles with special refefence to the regulatory function of the mitochondrial inner membrane.,Ferrochelatase,Chordoma
Action of partially cyclic and ring methylated nikethamide analogs. Structure-activity relationships of analeptics of the nicethamide type.,Central Nervous System Stimulants,Reality Testing
Hydrolysis-resynthesis equilibrium of the lysine-15--alanine-16 peptide bond in bovine trypsin inhibitor (Kunitz).,Catalysis,Rheumatic Heart Disease
The ability of enteric bacteria to catalyze the covalent binding of bile acids and cholesterol to DNA and their in ability to metabolize benzo(a)pyrene to a binding product and to known metabolites.,DNA,Mycosphaerella
Neurohistological and histochemical observations on the lung of Rattus rattus rufescens (Indian black rat).,Hydrogen-Ion Concentration,alpha-Amylases
Tokyo 77 ICN: the NSNA perspective.,"Societies, Nursing",Diverticulitis
3H-deoxythymidine incorporation in graft-versus-host disease in the Norway rat. I. Liquid scintillation studies.,Cell Division,Dinosaurs
The blockade of serotonin uptake and the meperidine-monoamine oxidase inhibitor interaction.,Brain,Blood-Borne Infections
A controlled evaluation of systematic desensitisation and social skills training for socially inadequate psychiatric patients.,Evaluation Studies as Topic,"Genes, Dominant"
"Rapid radioimmunoassay for guanosine 3',5'-cyclic monophosphate using tritiated ligand.",Cyclic AMP,Exodeoxyribonucleases
"Circadian rhythms of brain 5-hydroxytryptamine and swimming activity in the teleost, Fundulus grandis.",Light,Anthracosilicosis
The residue up take and histology of American oysters (Crassostrea virginica Gmelin) exposed to dieldrin.,Hydrogen-Ion Concentration,Hyperaldosteronism
Modification of brain mitochondrial monoamine oxidase activities by hydroxyethylhydrazide of cyanoacetic acid and some other monoamine oxidase inhibitors.,Biogenic Amines,"Protein Structure, Quaternary"
Determinants of lengths of outpatient visits in a prepaid group practice setting.,Health Maintenance Organizations,Meat Proteins
"Body position and mode of ventilation influences arterial pH, oxygen, and carbon dioxide tensions in halothane-anesthetized horses.",Horses,"Carcinoma, Pancreatic Ductal"
Acetylglucagon: preparation and characterization.,Biological Assay,Dynorphins
"Hematology of juvenile striped bass, morone saxatilis (walbaum), acclimated to different environmental conditions.",Fishes,Essential Tremor
Effect of isotope renography on urinary gamma glutamyl transpeptidase (GGTP) and leucine arylamidase (LAP).,Iodohippuric Acid,Adenovirus Vaccines
Angiography of multiple asynchronously manifest pheochromocytomas: the APUD concept.,"Neoplasm Recurrence, Local",Cytochrome P-450 CYP11B2
Beta-adrenoceptor blocking agents.,Drug Evaluation,"Enkephalin, Ala(2)-MePhe(4)-Gly(5)-"
Therapeutic and collateral effects of 25-hydroxycholecalciferol in vitamin D deficiency.,Hydroxycholecalciferols,Leigh Disease
Report on the students' meeting on an international level in Tokyo.,International Cooperation,Triethyltin Compounds
Hydroxymethylglutaryl-CoA reductase (NADPH) activity in rat brain during development.,"Animals, Newborn",Salvia officinalis
"Fusion in phospholipid spherical membranes. II. Effect of cholesterol, divalent ions and pH.",Cholesterol,Retinoic Acid Receptor alpha
The existence of a Ca2+ for H+ exchange across the sarcolemma of frog cardiac muscle cells proceedings.,In Vitro Techniques,Bone Neoplasms
The hypothalamus: introduction.,Neurosecretion,Anti-Obesity Agents
Use of the mouse jumping test for estimating antagonistic potencies of morphine antagonists.,Mice,Prussian Blue Reaction
Proceedings: The effect of prostaglandin on the canine gastric mucosal barrier.,Gastric Mucosa,Nerve Agents
Injuries of the forefoot.,"Accidents, Home","Conjunctivitis, Inclusion"
A specific polyadenylase from Escherichia coli K12.,Manganese,Geothermal Energy
"The effect of ketamine on heart rate, respiration rate and EEG of white leghorn hens.",Heart Rate,Pregabalin
"Optimal reaction conditions for assaying human lactate dehydrogenase pyruvate-to-lactate at 25, 30, and 37 degrees C.",Kinetics,Lipoxygenase
Total hip procedure; as seen from the surgical assistant's point of view.,Joint Prosthesis,Nogalamycin
New crystal forms of glutamine synthetase and implications for the molecular structure.,Protein Conformation,Meibomian Gland Dysfunction
Isolation and characterization of indole-3-acetaldehyde reductases from Cucumis sativus.,Plants,Addison Disease
Gonadotropin receptors in human corpora lutea of the menstrual cycle and pregnancy.,Menstruation,Proto-Oncogene Proteins c-yes
"The distribution of benorylate in plasma, synovial fluid and synovial tissue in rheumatoid arthritis.",Synovial Membrane,"Chromosomes, Plant"
A double-blind comparison between loxapine and haloperidol by parenteral route in acute schizophrenia.,Aggression,Sick Role
The effect of ion pair formation on the antimuscarinic activity of methantheline.,Ions,Heredity
Radiosensitization of hypoxic cells of an in vitro tumor model by respiratory inhibitors.,"Depression, Chemical",Lactams
Liver enzymatic induction after repeated or prolonged stress.,Radiation Effects,Giardiasis
Confusional states in geriatrics.,Cognition Disorders,Rats
The presence of collagenolytic cathepsin in uveal lysosomes of bovine eye.,Buffers,Coloboma
Broad-line nuclear magnetic resonance studies of chloroperoxidase.,Kinetics,Hamamelidaceae
pH-metric studies of the gastroesophageal reflux after pentagastrin.,Gastroesophageal Reflux,Schistosomiasis
Basic dyes as reagents for drug substances of an acidic nature.,Photometry,Hereditary Central Nervous System Demyelinating Diseases
"Weak acids, weak bases and intracellular pH.",Acid-Base Equilibrium,4-Hydroxyphenylpyruvate Dioxygenase
Ammonia absorption from the canine colon after portacaval shunt.,Bicarbonates,"Receptor, Parathyroid Hormone, Type 1"
Effect of penbutolol (Hoe 893 d) and practolol on exercise-induced angina pectoris 2 and 24 hours after a signle oral dose.,Adrenergic beta-Antagonists,Burkholderia pseudomallei
Basic mechanisms involved in acid-base homeostasis.,Acid-Base Equilibrium,Coronavirus Envelope Proteins
Variations in ionized plasma calcium during the administration of a macromolecular expander solution.,Calcium,Dental Pulp Exposure
Use of coronaroactive agents with beta-stimulating effect in ischemic heart disease.,Chronic Disease,Metastasectomy
The bulk density of mixtures of particles of different shapes proceedings.,Chemical Phenomena,Depth Perception
Electrogram of the bundle of His in analysis of cardiac rhythm disorders. Experience and results of recording of the His bundle electrogram in a group of 98 patients.,Electrocardiography,Assisted Circulation
Staffing by contract.,Jurisprudence,Enuresis
"Alcoholic cardiomyopathy in mice. Myocardial glycogen, lipids and certain enzymes.",Acetate-CoA Ligase,Cephradine
"The effect of sympatholytic and sympathomimetic agents on acetylcholinesterase and cholinesterase activity, in vitro.",Adrenergic beta-Agonists,Dicrocoeliidae
Immunodiagnosis of drug allergy in tuberculosis patients.,Immunologic Techniques,Composite Tissue Allografts
Overburdening of students in the view of Rudolf Virchow.,"History, 20th Century",Substantia Gelatinosa
Synthetic peptides for chymosin and pepsin assays: pH effect and pepsin independent-determination in mixtures.,"Binding, Competitive",Ribonucleoside Diphosphate Reductase
Isolation of matrix RNA coding a tyrosine aminotransferase isoenzyme induced by hydrocortisone from rat liver polyribosomes.,Hydrocortisone,Eptifibatide
An electrophysiological study of mechanisms controlling polyp retraction in colonies of the scleractinian coral Goniopora lobata.,Cnidaria,Technetium
Effect of oxygen saturation on H+ and Cl- distribution across the red cell membrane in human and ruminant blood.,Biological Transport,Pyrobaculum
Tetramethyl benzidine for horseradish peroxidase neurohistochemistry: a non-carcinogenic blue reaction product with superior sensitivity for visualizing neural afferents and efferents.,Brain Chemistry,Meconium
o-phthalaldehyde for the fluorometric assay of nonprotein amino compounds.,Chemical Phenomena,Inula
"Adrenergic component in the hepatotropic, carcinogenic effect of diethylnitrosamine.",Diethylnitrosamine,"Neoplasms, Muscle Tissue"
A new analgesic testing method using ultrasonic stimulation. I. Effects of narcotic and nonnarcotic analgesics.,"Analgesics, Opioid","Reticuloendotheliosis, Avian"
Anatoliĭ Nikolaevich Kruglov (on his 85th birthday).,Kyrgyzstan,Serial Passage
Arteriography in polyarteritis nodosa. 15 cases (author's transl).,Celiac Artery,"Herpesvirus 1, Cercopithecine"
Graduated approach modeling in an aversive task.,Avoidance Learning,Aniridia
Some results of applying the scientific research of the kirghiz research of the Kirghiz Research Institute of Oncology and Radiology in the national economy of the Kirghiz SSR for the purpose of preventing pretumorous diseases and cancer.,Neoplasms,Cholestenone 5 alpha-Reductase
"Comparison of newly synthesized beta-adrenergic blockers, OPC 1085 and SQ 11725, with pindolol and propranolol in the blood-perfused canine SA node and papillary muscle preparations.",Dogs,Root Resorption
Biliary excretion of warfarin metabolites and their metabolism by rat gut flora.,Hydrogen-Ion Concentration,Chloralose
Oral pharmacology of chlorhexidine.,Chlorhexidine,Sao Tome and Principe
Near-UV circular dichroism of trypsin inhibitor of adzuki beans attributable to disulfide groups.,Hydrogen-Ion Concentration,Index of Orthodontic Treatment Need
Conformational properties of bovine plasma albumin with a cleaved internal peptide bond.,Circular Dichroism,Kinetics
On the use of some phenothiazine derivatives in chickens.,Heart Rate,Cross-Priming
The effect of etomidate and flunitrazepam associated with suxamethonium on plasma potassium.,"Anesthesia, Intravenous",Herpesvirus Vaccines
Age dependence of carbohydrate tolerance and insulin secretion (author's transl).,Glucose Tolerance Test,Nafenopin
The traumatic heart infarct as a legal problem in health insurance.,Switzerland,"Receptor, Serotonin, 5-HT1D"
"Burden of proof is on hospital, not patient.",United States,Home Health Aides
Treatment of inflammatory diseases of the conjunctiva.,Antazoline,Protein Transport
Transfer of oestrone glucuronide to the medium in an isolated rat liver perfusion system.,Glucuronates,Myalgia
Mechanisms of red cell zinc uptake with a note on zinc and red cell metabolism.,Erythrocytes,"Hypertension, Malignant"
Treatment of hypertonus in diabetes mellitus.,Adrenergic beta-Antagonists,Protein Splicing
A comparison between a melanocyte-stimulating hormone inhibitory factor (MIF-I) and substances known to activate central dopamine receptors.,Brain,"RNA, Transfer, Amino Acid-Specific"
Multi-clinic cross-over comparison of triazolam (Halcion) and placebo in the treatment of co-existing insomnia and anxiety in anxious out-patients.,Ambulatory Care,Cilostazol
Control of hepatic and intestinal blood flow: effect of isovolaemic haemodilution on blood flow and oxygen uptake in the intact liver and intestines.,Hepatic Artery,Tylenchoidea
Determination of erythrocyte folate by competitive protein binding assay preceded by extraction.,Charcoal,Vatican City
Alterations in brain cyclic guanosine 3':5'-monophosphate levels after acute and chronic treatment with ethanol.,Cyclic GMP,Kymography
Bone marrow transplantation between a histocompatible parent and child for acute leukemia.,Cystitis,Tetrahydronaphthalenes
Modification of amino acids and bovine pancreatic ribonuclease A by kethoxal.,Butanones,Choroid
Pamatolol: phase I evaluation of the pharmacodynamics of a cardioselective beta adrenoceptor blocking drug.,Heart,E2F4 Transcription Factor
A serotonin sensitive guanylate cyclase associated with specific neurotransmitter binding sites on isolated synaptic membranes from mature rat brain.,Brain,"Desensitization, Immunologic"
Purification and characterization of a myosin-cleaving protease from rat heart myofibrils.,Molecular Weight,Vascular System Injuries
Time-dependent alterations in testicular function after experimental cryptorchism.,Cryptorchidism,"Hypophosphatemia, Familial"
Chain shortening of erucic acid by subcellular particles isolated from liver and heart of rat.,Coenzyme A,Medical Writing
Recurrent ventricular fibrillation in a subject with mitral valve prosthesis solved by electric pacing and beta-blockaders.,Adrenergic beta-Antagonists,Acoustic Maculae
An identification and analysis of core courses in nursing education.,"Education, Nursing",Purinones
Algal glyceraldehyde-3-phosphate dehydrogenases. Conversion of the NADH-linked enzyme of Scenedesmus obliquus into a form which preferentially uses NADPH as coenzyme.,Chlorophyta,Parental Notification
Mucociliary function in the respiratory tract as influenced by physicochemical factors.,Bronchitis,Cyperaceae
The P wave in arterial hypertension.,Cardiomegaly,Epichloe
Surgical technique in the management of undescenced testis (author's transl).,Scrotum,Chromosome Breakpoints
Interpretation of dissolution rate data from in vitro testing of compressed tablets.,Kinetics,Sputum
Enzymatic activity of blood lymphocytes experimental tsutsugamushi fever in mice.,Mice,Urogenital Neoplasms
Effects of drugs on the reproductive physiology of male albino rats: Part I--Central depressants & analgesic-antipyretics.,Barbiturates,"Spectrometry, Mass, Fast Atom Bombardment"
Conversion of proparathyroid hormone to parathyroid hormone by a particulate enzyme of the parathyroid gland.,Parathyroid Glands,Angola
Information science in intensive care medicine. Examples of the European approach.,Europe,Corpus Luteum
Inactivation of somatostatin by peptidases in different areas of the rat brain.,Cerebral Cortex,Ferric Compounds
The role of dopaminergic systems in gamma-hydroxybutyrate-induced electrocorticogram hypersynchronization in the rat.,Desipramine,NM23 Nucleoside Diphosphate Kinases
Fat digestion in the stomach of premature infants. I. Characteristics of lipase activity.,Glycerides,Ferrichrome
Effect of diamfenetide on experimental infections of Fasciola hepatica in lambs: anthelmintic and clinical investigations.,Fasciola hepatica,"Graft Enhancement, Immunologic"
The trypsin and chymotrypsin inhibitors in chick peas (Cicer arietinum L.). Purification and properties of the inhibitors.,Guanidines,Betaine
Diphenylhydantoin binding to brain lipids and phospholipids.,Brain,Lesch-Nyhan Syndrome
The significance of physiological and biochemical deviations from the norm on the skin surface for infectious skin diseases (proceedings).,Amino Acids,Tymovirus
Comparison of soluble and membrane-bound neutral arylamidases from renal cell carcinoma.,Cytosol,Clenbuterol
Proceedings: Factors affecting oxidation of aliphatic hydroxylamines in aqueous solutions.,"Chemistry, Physical",GABA Modulators
"Dual role of Zn2+ as inhibitor and activator of fructose 1,6-bisphosphatase of rat liver.",Binding Sites,Leeches
Fractionation of serum transcobalamins on charged cellulose filters.,"Leukemia, Myeloid",Vitellogenins
The interaction of barbiturates and analeptics.,Methamphetamine,Vascular Neoplasms
"On the pharmacology of 9,10-dihydro-10-(1-methyl-4-piperidylidene)-9-anthrol (WA 335), a histamine and serotonin antagonist (author's transl).","Behavior, Animal",Patient Simulation
Effect of denervation and local damage on extrajunctional L-glutamate receptors in locust muscle.,Glutamates,"Bandages, Hydrocolloid"
"Determination of 3-(5-tetrazolyl) thioxanthone 10,10-dioxide in human plasma, urine and faeces.",Hydrogen-Ion Concentration,"Lupus Erythematosus, Discoid"
Role of kupffer cells and suppressor T cells in the graft versus host reaction after intrahepatic lymphoid tissue implantation.,Liver,Thylakoids
The golden era of immunology at the Rockefeller Institute.,Academies and Institutes,Electroplating
"Chemical and photochemical alteration of 2,4-D esters in the acquatic environment.",Hydrolysis,Glaucarubin
Potentiometric studies on benzeneboronic acid-alpha-chymotrypsin interactions.,Hydrogen-Ion Concentration,Sleep Medicine Specialty
Properties of rat kidney glutaminase enzymes and their role in renal ammoniagenesis.,Kidney,Glycemic Load
"Comparative characteristics of catalase from the fungus Penicillium vitale, which is synthesized under different nutritional conditions.",Carbohydrates,Perfusion Imaging
"An account of a scarlatina epidemic, 1839.",Pennsylvania,Fetuins
Adverse drug reactions in children.,Age Factors,Complement C5a
Fractionation of DNA from mammalian cells by alkaline elution.,Kinetics,Drug Delivery Systems
Growth of Ibaraki virus in suspension culture of HmLu-1 cells.,Hydrogen-Ion Concentration,Cysteine Endopeptidases
Treatment of hepatic porphyria.,Nucleic Acids,Demyelinating Diseases
Hypophosphatemia.,Oxygen Consumption,Zyxin
Case report: giant diverticulum of sigmoid.,"Diverticulum, Colon",Purple Membrane
Specificity studies on alpha-mannosidases using oligosaccharides from mannosidosis urine as substrates.,"Carbohydrate Metabolism, Inborn Errors","Adenocarcinoma, Sebaceous"
Bioavailability and dissolution of different formulations of oxytetracycline preparations.,Solubility,Polygonaceae
Itaconic acid carrier ampholytes for isoelectric focusing.,Isoelectric Focusing,Phosphatidylinositol 3-Kinase
Values of acid-base equilibrium in the blood of various species of domestic animals.,Carbon Dioxide,"Sodium-Phosphate Cotransporter Proteins, Type IIa"
Professor A. A. Smorodintsev--75th birthday.,USSR,Health Planning Support
Benzodiazepine binding in human brain: characterization using 3Hflunitrazepam.,Binding Sites,"Fees, Medical"
Recent advances in equine reproduction.,Corpus Luteum,Mauritius
"Analysis of unsaturated fatty acids, and their hydroperoxy and hydroxy derivatives by high-performance liquid chromatography.",Hydrogen-Ion Concentration,Monophenol Monooxygenase
Ability of antilymphocyte sera to counteract the allogeneic inhibition of hematopoietic stem cells.,Graft Rejection,Carbazilquinone
Participation of tryptophan 62 in the self-association of hen egg white lysozyme. Application of natural abundance carbon 13 nuclear magnetic resonance spectroscopy.,Chickens,Haloferax mediterranei
Fluctuation in activity of the molecular forms of cellular DNA polymerase during infection by SV40.,Cytoplasm,"Sesquiterpenes, Eudesmane"
Measurement of pH in the rat epididymis in vivo.,Hydrogen-Ion Concentration,Cyanates
Increased pulmonary vascular pressor response to hypoxia in highland dogs.,Carbon Dioxide,Reinjuries
Guanylate cyclase and cyclic GMP-dependent protein kinase in the brain (author's transl).,Cerebellum,Urination Disorders
Isolation of a multiprotein complex containing cytochrome b and c1 from Neurospora crassa mitochondria by affinity chromatography on immobilized cytochrome c. Difference in the binding between ferricytochrome c and ferrocytochrome c to the multiprotein complex.,Binding Sites,Porphyromonas
"Inactivation of gamma-glutamyl transpeptidase by phenylmethanesulfonyl fluoride, a specific inactivator of serine enzymes.",Kinetics,Cystathionine beta-Synthase
Age dependence of carbohydrate tolerance and insulin secretion (author's transl).,Aging,Freeze Etching
Angiotensin I-converting enzyme in human urine.,Hydrogen-Ion Concentration,Systemic Vasculitis
Correlation of behavioural inhibition or excitation produced by bromocriptine with changes in brain catecholamine turnover.,Bromocriptine,"Leukoplakia, Oral"
The role of biotransformation in the action of drugs affecting the sympathetic nervous system.,Biotransformation,Cathode Ray Tube
Classification and use of psychotropic agents.,Chemistry,Wrestling
"Some properties of Mg 2+, Ca 2+-AtPase of brain microsomal fractions and synaptic plasma membranes in the solubilized state.",Digitonin,HLA-B35 Antigen
Structure-activity relationships of methionine-enkephalin.,Mice,Acrosin
Naturally occurring cross-links in yeast chromosomal DNA.,Chromosomes,Neurilemma
A simplified method for analysis of inorganic phosphate in the presence of interfering substances.,Proteins,Selective Breeding
Fluorimetric assay of tobacco leaf dehydrogenases with resazurin.,Hydrogen-Ion Concentration,Simendan
Influences of intracellular pyridine nucleotide redox states on fatty acid synthesis in isolated rat hepatocytes.,Calcium,Ventricular Premature Complexes
Purification and properties of S-adenosyl-L-homocysteine hydrolase from leaves of spinach beet.,Homocysteine,Glutaral
Physicochemical properties of cartilage proteoglycans extracted by lanthanum chloride.,Calcium Chloride,"Diet, Paleolithic"
Indication of the metarhodopsin I-II transition by absorption-changes of Eriochromblack T.,Digitonin,Salix
Pyridine nucleotide-dependent electron transport in kidney cortex microsomes: interaction with desaturase and other microsomal mixed-function oxidases.,Dietary Carbohydrates,Brachyura
Rupture of base pairing in double-stranded poly(riboadenylic acid)-poly(ribouridylic acid) by formaldehyde: medium chain lenghts.,Chemical Phenomena,"Water Pollution, Radioactive"
"Factors causing lysis of an Actinomyces rimosus culture, the producer of the antibiotic, oxytetracycline.","Chromatography, Gel",Dalteparin
Letter: Heat exhaustion and respiratory alkalosis.,Blood,Dicumarol
Homosexuality treated adventitiously in a stuttering therapy program: a case report presenting a heterophobic orientation.,"Generalization, Psychological",Mobile Health Units
Vesicular storage and release of a false cholinergic transmitted (acetylpyrrolcholine) in the Torpedo electric organ.,Acetylcholine,Penstemon
A controlled trial of antiemetics in abortion by PGF2alpha and laminaria.,Amnion,Stomatognathic Diseases
Effects of various dopaminergic agonists on the pO2 of the cerebral cortex.,Cerebral Cortex,Reinfection
"The two dispensable structural proteins (soc and hoc) of the T4 phage capsid; their purification and properties, isolation and characterization of the defective mutants, and their binding with the defective heads in vitro.","Antigens, Viral","Bursa, Synovial"
"The in vitro metabolism of 1-(o-chlorophenyl)-1-(p-chlorophenyl)-2,2-dichloroethane (o,p'-DDD) by dog adrenal mitochondria and metabolite covalent binding to mitochondrial macromolecules: a possible mechanism for the adrenocorticolytic effect.",Binding Sites,Stapedius
"Interaction of haemoglobin with protons, CO2 and 2,3-diphosphoglycerate.",Diphosphoglyceric Acids,Isobutyrates
